gene_a,gene_b,score
RARA,CTNNB1,0.883
RARA,EP300,0.883
RARA,CREBBP,0.889
RARA,RUNX1,0.905
RARA,RARG,0.958
RARA,RARB,0.984
RARA,NCOR1,0.999
RARA,NCOR2,0.999
RARA,RXRA,0.999
JAG1,KDR,0.701
JAG1,ADAM17,0.788
JAG1,CTNNB1,0.796
JAG1,MAML2,0.803
JAG1,RUNX3,0.811
JAG1,NOTCH2,0.999
SNAP25,SLC18A2,0.71
SNAP25,SV2A,0.726
SNAP25,HTR1B,0.73
SNAP25,CACNA1D,0.736
SNAP25,SNCA,0.779
SNAP25,CACNA1C,0.782
SNAP25,CACNA1B,0.884
SNAP25,VAMP2,0.999
PDE6A,IMPDH1,0.701
PDE6A,NPR1,0.743
PDE6A,NPR2,0.746
PDE6A,PDE6H,0.757
PDE6A,ADCY7,0.758
PDE6A,ADCY3,0.774
PDE6A,GUCY1A1,0.781
PDE6A,GUCY2C,0.782
PDE6A,GUCY1A2,0.782
PDE6A,GUCY1B1,0.809
PDE6A,RPE65,0.813
PDE6A,PDE6B,0.982
PDE6A,PDE6G,0.998
CHRM3,CHRM1,0.91
KRAS,ABL1,0.703
KRAS,NTRK2,0.703
KRAS,RUNX3,0.71
KRAS,IDH2,0.712
KRAS,CSF3R,0.712
KRAS,BCL2L11,0.713
KRAS,TNF,0.717
KRAS,PTGS2,0.718
KRAS,ATM,0.718
KRAS,BRCA1,0.721
KRAS,BRCA2,0.721
KRAS,CDH1,0.723
KRAS,ITGB1,0.726
KRAS,FN1,0.728
KRAS,SPRED2,0.742
KRAS,CDK4,0.743
KRAS,WT1,0.755
KRAS,CSF1R,0.755
KRAS,KMT2C,0.756
KRAS,NTRK3,0.757
KRAS,PPARG,0.757
KRAS,EP300,0.757
KRAS,IDH1,0.762
KRAS,JAK3,0.764
KRAS,ESR1,0.764
KRAS,FBXW7,0.768
KRAS,CD274,0.774
KRAS,PMS2,0.776
KRAS,KDR,0.78
KRAS,YES1,0.792
KRAS,JAK1,0.796
KRAS,ETV6,0.803
KRAS,LCK,0.807
KRAS,STAT3,0.817
KRAS,IL6,0.823
KRAS,MTOR,0.826
KRAS,JAK2,0.85
KRAS,ERBB4,0.862
KRAS,BCL2,0.862
KRAS,ROS1,0.862
KRAS,SPRED1,0.868
KRAS,MYC,0.872
KRAS,ARID1A,0.873
KRAS,LYN,0.874
KRAS,PDE6D,0.874
KRAS,RET,0.884
KRAS,CTNNB1,0.885
KRAS,CALM1,0.899
KRAS,CSF2RB,0.903
KRAS,AKT1,0.904
KRAS,IL3RA,0.918
KRAS,LZTR1,0.921
KRAS,PRKCB,0.923
KRAS,PTEN,0.936
KRAS,SYK,0.936
KRAS,RASGRP1,0.937
KRAS,NRAS,0.944
KRAS,FGFR4,0.948
KRAS,TP53,0.949
KRAS,PTPN11,0.953
KRAS,MAP3K1,0.953
KRAS,PDGFRB,0.959
KRAS,PIK3R1,0.963
KRAS,ERBB2,0.966
KRAS,MAP2K2,0.966
KRAS,PIK3CG,0.968
KRAS,IGF1R,0.971
KRAS,FGFR3,0.971
KRAS,FGFR2,0.973
KRAS,PIK3CB,0.973
KRAS,PIK3CD,0.974
KRAS,KIT,0.976
KRAS,PDGFRA,0.978
KRAS,MET,0.979
KRAS,FGFR1,0.981
KRAS,SHOC2,0.989
KRAS,ALK,0.989
KRAS,SRC,0.99
KRAS,HRAS,0.992
KRAS,CDKN2A,0.992
KRAS,MAP2K1,0.995
KRAS,NF1,0.996
KRAS,EGFR,0.997
KRAS,PIK3CA,0.998
KRAS,BRAF,0.999
KRAS,SOS1,0.999
KRAS,RAF1,0.999
LYVE1,CD34,0.716
LYVE1,VWF,0.724
LYVE1,CCL21,0.77
LYVE1,KDR,0.805
LYVE1,PECAM1,0.822
LYVE1,FLT4,0.94
RRAS2,PIK3R1,0.794
RRAS2,PIK3CB,0.828
RRAS2,RASGRP1,0.839
RRAS2,CDKN2A,0.922
RRAS2,PRKCB,0.923
RRAS2,MAP3K1,0.938
RRAS2,SOS1,0.948
RRAS2,SHOC2,0.949
RRAS2,BRAF,0.951
RRAS2,NF1,0.958
RRAS2,PIK3CG,0.978
RRAS2,RAF1,0.985
RRAS2,PIK3CA,0.988
RRAS2,PIK3CD,0.989
SORT1,FURIN,0.743
SORT1,VAMP2,0.786
SORT1,IGF2R,0.824
SORT1,LPL,0.831
SORT1,PCSK9,0.866
SORT1,APP,0.883
SORT1,NTRK1,0.905
SORT1,NTRK3,0.907
SORT1,NTRK2,0.933
SORT1,CELSR2,0.949
SORT1,PSRC1,0.954
NOTCH2,EGFR,0.744
NOTCH2,EP300,0.814
NOTCH2,CREBBP,0.818
NOTCH2,DTX1,0.918
NOTCH2,ADAM17,0.942
NOTCH2,MAML2,0.968
FOLH1,TRPM8,0.719
FOLH1,AR,0.722
FOLH1,DPP4,0.758
FOLH1,EGFR,0.782
FOLH1,FOLR1,0.817
FOLH1,ERBB2,0.825
PDGFRA,FGFR1,0.715
PDGFRA,IDH1,0.727
PDGFRA,PECAM1,0.73
PDGFRA,CDKN2A,0.73
PDGFRA,JAK3,0.737
PDGFRA,CD34,0.744
PDGFRA,IL13,0.745
PDGFRA,CTNNB1,0.756
PDGFRA,TP53,0.762
PDGFRA,IFNA1,0.768
PDGFRA,ERBB2,0.768
PDGFRA,IFNA2,0.771
PDGFRA,IFNA17,0.774
PDGFRA,IL10,0.776
PDGFRA,NF1,0.804
PDGFRA,ANO1,0.805
PDGFRA,CXCL12,0.806
PDGFRA,IL6,0.817
PDGFRA,PTEN,0.828
PDGFRA,MDM2,0.843
PDGFRA,PGF,0.848
PDGFRA,ANGPT2,0.864
PDGFRA,FGF5,0.904
PDGFRA,PLCG2,0.913
PDGFRA,CBL,0.919
PDGFRA,JAK1,0.919
PDGFRA,PIK3CD,0.924
PDGFRA,SOS1,0.927
PDGFRA,JAK2,0.929
PDGFRA,SRC,0.954
PDGFRA,PIK3CB,0.957
PDGFRA,HRAS,0.96
PDGFRA,STAT3,0.961
PDGFRA,NRAS,0.967
PDGFRA,EGFR,0.986
PDGFRA,PDGFRB,0.989
PDGFRA,PIK3CA,0.99
PDGFRA,PTPN11,0.995
PDGFRA,PIK3R1,0.995
PDGFRA,PDGFB,0.999
TBX3,HCN4,0.721
TBX3,GATA4,0.773
TBX3,TBX5,0.812
TBX3,NKX2-5,0.873
TBX3,KLF4,0.878
BACH2,PAX5,0.803
BACH2,PRDM1,0.809
BACH2,NCOR2,0.851
BACH2,IRF4,0.853
BACH2,NCOR1,0.89
CDK4,RAD51C,0.704
CDK4,MC1R,0.707
CDK4,PIK3CA,0.709
CDK4,CDH1,0.712
CDK4,ARID1A,0.713
CDK4,ESR1,0.718
CDK4,ABL1,0.729
CDK4,DNMT1,0.738
CDK4,SMARCA4,0.75
CDK4,TERT,0.756
CDK4,PARP1,0.756
CDK4,TOP2A,0.773
CDK4,CTNNB1,0.795
CDK4,BCL2,0.815
CDK4,NRAS,0.822
CDK4,BLM,0.846
CDK4,PTEN,0.865
CDK4,MDM2,0.884
CDK4,SMAD3,0.892
CDK4,ATM,0.937
CDK4,BRCA2,0.943
CDK4,MYC,0.966
CDK4,TP53,0.966
CDK4,BRCA1,0.972
CDK4,CDKN1C,0.994
CDK4,RB1,0.999
CDK4,CDKN2A,0.999
CDK4,CCND3,0.999
CDK4,CDKN1A,0.999
CDK4,CDKN2C,0.999
CDK4,CDK6,0.999
CDK4,CDKN2B,0.999
MDM2,HDAC6,0.701
MDM2,BRCA2,0.702
MDM2,FHIT,0.703
MDM2,STAT3,0.715
MDM2,CDKN2B,0.72
MDM2,FOS,0.722
MDM2,FGFR4,0.747
MDM2,RANBP2,0.767
MDM2,SUZ12,0.768
MDM2,NBN,0.774
MDM2,FOXO1,0.774
MDM2,BRCA1,0.794
MDM2,TERT,0.797
MDM2,FGFR3,0.799
MDM2,MYC,0.813
MDM2,BARD1,0.821
MDM2,CTNNB1,0.823
MDM2,RUNX3,0.836
MDM2,PPM1D,0.858
MDM2,FGFR2,0.867
MDM2,SRC,0.882
MDM2,ABL1,0.896
MDM2,EGFR,0.897
MDM2,TP63,0.9
MDM2,PTEN,0.902
MDM2,CREBBP,0.909
MDM2,CDH1,0.925
MDM2,EZH2,0.945
MDM2,ESR1,0.946
MDM2,BCL2,0.953
MDM2,HDAC1,0.963
MDM2,LATS2,0.966
MDM2,CDKN1A,0.98
MDM2,IGF1R,0.981
MDM2,CHEK2,0.983
MDM2,HIF1A,0.988
MDM2,ATM,0.995
MDM2,AR,0.998
MDM2,RB1,0.999
MDM2,AKT1,0.999
MDM2,CDKN2A,0.999
MDM2,MDM4,0.999
MDM2,EP300,0.999
MDM2,TP53,0.999
HTR2B,HTR1B,0.725
HTR2B,AGTR1,0.746
HTR2B,HTR3A,0.78
HTR2B,SLC6A4,0.872
HTR2B,CACNA1F,0.9
HTR2B,CACNA1S,0.902
HTR2B,CACNA1D,0.908
HTR2B,CACNA1C,0.916
HTR2B,HTR2A,0.962
HTR2B,HTR2C,0.977
BRIP1,RAD50,0.723
BRIP1,RMI2,0.752
BRIP1,RAD51B,0.756
BRIP1,ANO1,0.785
BRIP1,POLD1,0.8
BRIP1,RAD51D,0.839
BRIP1,ATM,0.933
BRIP1,RAD51C,0.941
BRIP1,BLM,0.95
BRIP1,PMS2,0.993
BRIP1,FANCD2,0.997
BRIP1,BRCA2,0.998
BRIP1,PALB2,0.998
BRIP1,NBN,0.998
BRIP1,BRCA1,0.999
BRIP1,BARD1,0.999
BLK,HNF1A,0.711
BLK,TNFAIP3,0.726
BLK,MS4A1,0.738
BLK,PAX5,0.795
BLK,EGFR,0.807
BLK,STAT3,0.821
BLK,CD19,0.878
BLK,BANK1,0.912
BLK,CD79B,0.921
GYPC,ERVW-1,0.741
CCL21,CCR4,0.713
CCL21,CCL20,0.728
CCL21,SRC,0.757
CCL21,CD8A,0.862
CCL21,CCRL2,0.891
CCL21,CXCR1,0.943
CCL21,CCR2,0.944
CCL21,CCR6,0.945
CCL21,CCR5,0.981
CCL21,CX3CR1,0.982
CCL21,CXCL12,0.999
CCL21,CXCR4,0.999
RIPK1,TLR7,0.725
RIPK1,IFIH1,0.74
RIPK1,FAS,0.966
RIPK1,IKBKB,0.987
RIPK1,TRAF1,0.988
RIPK1,TNFAIP3,0.992
RIPK1,TLR3,0.998
RIPK1,BIRC3,0.999
RIPK1,TNF,0.999
RIPK1,CYLD,0.999
TUBB2B,TUBA3C,0.708
TUBB2B,TUBB2A,0.933
TUBB2B,TUBA3E,0.97
TUBB2B,TUBA1C,0.971
TUBB2B,TUBA1A,0.997
TUBB2B,TUBA1B,0.998
MMP7,IL1B,0.742
MMP7,PLAU,0.746
MMP7,TP53,0.774
MMP7,FN1,0.778
MMP7,CDH1,0.819
MMP7,CTNNB1,0.824
MMP7,MMP1,0.878
FDX1,CYP17A1,0.71
FDX1,MT-ND5,0.78
FDX1,CYP11B1,0.859
FDX1,CYP11B2,0.862
FDX1,MT-ND4,0.888
FDX1,CYP11A1,0.999
MMP13,TNF,0.712
MMP13,FN1,0.744
MMP13,TNFSF11,0.747
MMP13,IL6,0.757
MMP13,A2M,0.786
MMP13,CBFB,0.794
MMP13,COL18A1,0.81
MMP13,IL1B,0.823
MMP13,PLG,0.913
BARD1,BLM,0.718
BARD1,PMS2,0.738
BARD1,POLD1,0.748
BARD1,FANCD2,0.783
BARD1,POLE,0.787
BARD1,PARP1,0.826
BARD1,RAD51B,0.856
BARD1,ESR1,0.886
BARD1,BCOR,0.905
BARD1,H3C2,0.916
BARD1,CHEK2,0.937
BARD1,RAD51D,0.94
BARD1,ATM,0.946
BARD1,RAD51C,0.967
BARD1,TP53,0.982
BARD1,PALB2,0.987
BARD1,RAD50,0.997
BARD1,NBN,0.998
BARD1,BRCA2,0.999
BARD1,BRCA1,0.999
ITGAV,KDR,0.705
ITGAV,FLNC,0.71
ITGAV,COL18A1,0.713
ITGAV,HMGB1,0.745
ITGAV,SCARB1,0.793
ITGAV,COL4A2,0.841
ITGAV,COL4A1,0.863
ITGAV,PECAM1,0.886
ITGAV,IGF1R,0.892
ITGAV,TNC,0.946
ITGAV,SRC,0.946
ITGAV,ITGA2B,0.948
ITGAV,ITGB7,0.951
ITGAV,ITGA4,0.96
ITGAV,VWF,0.986
ITGAV,ITGB3,0.999
ITGAV,ITGB1,0.999
ITGAV,FN1,0.999
GUCY2C,PDE6G,0.708
GUCY2C,PDE3B,0.741
GUCY2C,PDE1C,0.742
GUCY2C,PDE1A,0.743
GUCY2C,PDE3A,0.748
GUCY2C,PDE9A,0.763
GUCY2C,PDE2A,0.772
GUCY2C,PDE6C,0.776
GUCY2C,PDE6B,0.797
GUCY2C,PDE10A,0.83
GUCY2C,PDE5A,0.849
GUCY2C,PKLR,0.903
GUCY2C,EMD,0.989
GALC,PLPP3,0.906
GALC,UGCG,0.95
LRP6,PTH1R,0.983
LRP6,CTNNB1,0.992
LRP6,SOST,0.999
VWF,F11,0.705
VWF,SYK,0.712
VWF,F13A1,0.713
VWF,IL6,0.716
VWF,ITGB7,0.719
VWF,ITGA4,0.743
VWF,FCGR2A,0.743
VWF,MUC19,0.753
VWF,TEK,0.757
VWF,TNF,0.789
VWF,PLG,0.798
VWF,NOS3,0.811
VWF,ITGB1,0.834
VWF,KDR,0.848
VWF,CD34,0.849
VWF,SERPINC1,0.86
VWF,ANGPT2,0.903
VWF,F7,0.911
VWF,PECAM1,0.918
VWF,F2,0.966
VWF,F10,0.978
VWF,F3,0.98
VWF,ADAMTS13,0.997
VWF,ITGB3,0.998
VWF,FN1,0.998
VWF,F8,0.999
VWF,SELP,0.999
VWF,ITGA2B,0.999
PALB2,PARP1,0.725
PALB2,PTEN,0.727
PALB2,BLM,0.729
PALB2,MUTYH,0.732
PALB2,TP53,0.738
PALB2,POLE,0.764
PALB2,NBN,0.801
PALB2,POLD1,0.805
PALB2,RAD51B,0.89
PALB2,MT-ND4,0.916
PALB2,CHEK2,0.921
PALB2,MT-ND5,0.923
PALB2,ATM,0.945
PALB2,PMS2,0.947
PALB2,RAD51D,0.949
PALB2,FANCD2,0.991
PALB2,KEAP1,0.996
PALB2,MORF4L1,0.998
PALB2,BRCA1,0.999
PALB2,RAD51C,0.999
PALB2,BRCA2,0.999
DSG2,TTN,0.708
DSG2,MYH7,0.721
DSG2,CTNNB1,0.724
DSG2,LMNA,0.728
DSG2,RBM20,0.757
DSG2,MYBPC3,0.762
DSG2,RYR2,0.764
DSG2,SCN5A,0.768
DSG2,TMEM43,0.924
DSG2,JUP,0.997
DSG2,DSP,0.998
DSG2,DSC2,0.999
SCARB1,CD33,0.702
SCARB1,SOAT1,0.704
SCARB1,CD40,0.707
SCARB1,TNF,0.708
SCARB1,CD209,0.708
SCARB1,IL6,0.71
SCARB1,EPHA2,0.71
SCARB1,CD34,0.714
SCARB1,IL1B,0.714
SCARB1,ITGA2B,0.716
SCARB1,CD8A,0.72
SCARB1,CCR2,0.738
SCARB1,SELP,0.745
SCARB1,PTPRC,0.746
SCARB1,PPARD,0.763
SCARB1,HMGCR,0.787
SCARB1,PCSK9,0.796
SCARB1,ITGB1,0.802
SCARB1,PPARG,0.821
SCARB1,LPL,0.833
SCARB1,SRC,0.834
SCARB1,KDR,0.846
SCARB1,CD19,0.881
SCARB1,PPARA,0.896
SCARB1,ABCA1,0.934
SCARB1,NPC1L1,0.937
SCARB1,FYN,0.941
SCARB1,LYN,0.975
SLC6A4,SLC22A3,0.72
SLC6A4,HTR3A,0.726
SLC6A4,ITGB3,0.741
SLC6A4,DDC,0.756
SLC6A4,ALDH2,0.763
SLC6A4,DRD1,0.763
SLC6A4,DRD3,0.787
SLC6A4,MAOB,0.868
SLC6A4,SLC18A2,0.886
SLC6A4,DRD2,0.91
SLC6A4,HTR2C,0.914
SLC6A4,HTR1D,0.921
SLC6A4,HTR1B,0.932
SLC6A4,MAOA,0.942
SLC6A4,COMT,0.943
SLC6A4,HTR2A,0.961
SLC6A4,HTR1A,0.968
ALDH2,HMGA2,0.78
ALDH2,AOC1,0.939
ALDH2,AKR1B1,0.944
ALDH2,ABAT,0.945
ALDH2,MAOB,0.975
ALDH2,MAOA,0.982
CDH1,YAP1,0.712
CDH1,CDKN2A,0.713
CDH1,CD8A,0.713
CDH1,CD274,0.718
CDH1,EPHA2,0.718
CDH1,FYN,0.719
CDH1,HIF1A,0.721
CDH1,SMAD3,0.724
CDH1,CXCL12,0.726
CDH1,STAT3,0.732
CDH1,BCL2,0.736
CDH1,IGF1R,0.742
CDH1,CREBBP,0.744
CDH1,CXCR4,0.747
CDH1,LEF1,0.751
CDH1,DSP,0.761
CDH1,DNMT1,0.768
CDH1,HDAC1,0.775
CDH1,KDR,0.78
CDH1,RPL17,0.8
CDH1,ESR1,0.803
CDH1,ITGB7,0.804
CDH1,MYC,0.804
CDH1,KLF4,0.809
CDH1,HDAC2,0.842
CDH1,TP53,0.853
CDH1,ITGB1,0.856
CDH1,FN1,0.873
CDH1,FGFR1,0.885
CDH1,SLC6A3,0.901
CDH1,AKT1,0.903
CDH1,EPCAM,0.905
CDH1,PTEN,0.93
CDH1,ERVW-1,0.932
CDH1,ZEB2,0.954
CDH1,MET,0.959
CDH1,ERBB2,0.97
CDH1,SRC,0.988
CDH1,CTNNB1,0.999
CDH1,JUP,0.999
CDH1,EGFR,0.999
PDGFRB,CXCR4,0.707
PDGFRB,STAT5B,0.726
PDGFRB,ITGB3,0.727
PDGFRB,CD34,0.729
PDGFRB,JAK3,0.729
PDGFRB,PIK3CG,0.731
PDGFRB,IL13,0.733
PDGFRB,ITGB1,0.735
PDGFRB,RAF1,0.742
PDGFRB,FN1,0.765
PDGFRB,IFNA17,0.768
PDGFRB,IFNA2,0.771
PDGFRB,IFNA1,0.776
PDGFRB,PECAM1,0.785
PDGFRB,IL10,0.789
PDGFRB,CXCL12,0.815
PDGFRB,TYK2,0.818
PDGFRB,ANGPT2,0.851
PDGFRB,ERBB2,0.874
PDGFRB,FYN,0.891
PDGFRB,FGF5,0.891
PDGFRB,ETV6,0.893
PDGFRB,IL6,0.894
PDGFRB,PGF,0.905
PDGFRB,STAT3,0.915
PDGFRB,PLCG2,0.917
PDGFRB,JAK1,0.921
PDGFRB,PIK3CD,0.932
PDGFRB,SOS1,0.933
PDGFRB,PTEN,0.95
PDGFRB,JAK2,0.954
PDGFRB,NRAS,0.959
PDGFRB,PIK3CB,0.96
PDGFRB,HRAS,0.962
PDGFRB,PIK3CA,0.976
PDGFRB,KDR,0.986
PDGFRB,EGFR,0.998
PDGFRB,PTPN11,0.999
PDGFRB,PDGFB,0.999
PDGFRB,PIK3R1,0.999
PDGFRB,SRC,0.999
HCN4,KCND3,0.716
HCN4,RYR2,0.739
HCN4,PITX2,0.758
HCN4,CACNA1C,0.832
HCN4,NKX2-5,0.864
HCN4,SCN5A,0.953
FLT4,SRC,0.708
FLT4,ERBB2,0.722
FLT4,PIK3CD,0.726
FLT4,PIK3CB,0.735
FLT4,COL18A1,0.776
FLT4,PIK3CA,0.81
FLT4,PIK3R1,0.853
FLT4,PDGFB,0.877
FLT4,FGF5,0.908
FLT4,FLT1,0.92
FLT4,PECAM1,0.94
FLT4,ANGPT2,0.98
FLT4,KDR,0.994
FLT4,PGF,0.998
SGCA,TTN,0.743
SGCA,DMD,0.995
SGCA,SGCB,0.999
SMAD7,ACVR1,0.728
SMAD7,HDAC2,0.77
SMAD7,BMPR1B,0.786
SMAD7,LEF1,0.811
SMAD7,AKT1,0.817
SMAD7,CYLD,0.822
SMAD7,HDAC1,0.825
SMAD7,ACVR2B,0.829
SMAD7,EP300,0.842
SMAD7,PPP1CB,0.877
SMAD7,BMPR2,0.884
SMAD7,BMPR1A,0.902
SMAD7,CTNNB1,0.946
SMAD7,SMAD3,0.976
SMAD7,TGFBR2,0.994
SMAD7,YAP1,0.998
KCNH2,SIGMAR1,0.722
KCNH2,CYP3A4,0.73
KCNH2,RYR2,0.746
KCNH2,SCN4A,0.746
KCNH2,FLT1,0.849
KCNH2,KCND3,0.855
KCNH2,CACNA1C,0.891
KCNH2,SCN5A,0.978
KMT2C,MEN1,0.724
KMT2C,ATRX,0.743
KMT2C,RUNX1,0.75
KMT2C,ARID1B,0.757
KMT2C,EZH2,0.792
KMT2C,CREBBP,0.822
KMT2C,ARID1A,0.823
KMT2C,NCOR1,0.83
KMT2C,TP53,0.858
KMT2C,EP300,0.884
KMT2C,KMT2A,0.947
KMT2C,KDM6A,0.999
TRPA1,TRPV4,0.72
TRPA1,BDKRB2,0.726
TRPA1,P2RX3,0.732
TRPA1,SCN10A,0.763
TRPA1,TRPM8,0.984
TRPA1,TRPV1,0.991
CD33,CD8A,0.72
CD33,CBL,0.736
CD33,HAVCR2,0.738
CD33,CD2,0.77
CD33,MME,0.778
CD33,IL3RA,0.819
CD33,PTPRC,0.819
CD33,TNFRSF8,0.831
CD33,PTPN11,0.863
CD33,CD19,0.881
CD33,KIT,0.898
CD33,CD34,0.951
RPE65,IMPDH1,0.818
RPE65,PDE6B,0.846
IL12RB2,IL2RA,0.706
IL12RB2,IL19,0.715
IL12RB2,IL21,0.721
IL12RB2,JAK3,0.732
IL12RB2,TSLP,0.738
IL12RB2,IL17A,0.761
IL12RB2,IFNA17,0.778
IL12RB2,IFNA1,0.781
IL12RB2,IFNA2,0.788
IL12RB2,IL27,0.811
IL12RB2,IL13,0.821
IL12RB2,STAT3,0.85
IL12RB2,JAK1,0.876
IL12RB2,IL10,0.93
IL12RB2,IL6,0.943
IL12RB2,IL12A,0.971
IL12RB2,TYK2,0.994
IL12RB2,STAT4,0.996
IL12RB2,JAK2,0.998
CREBBP,STAT4,0.702
CREBBP,THRB,0.709
CREBBP,BRD4,0.71
CREBBP,IRF5,0.718
CREBBP,EWSR1,0.728
CREBBP,FBXW7,0.728
CREBBP,AIRE,0.733
CREBBP,PARP1,0.738
CREBBP,MED12,0.738
CREBBP,BCL2,0.739
CREBBP,HDAC6,0.742
CREBBP,CDKN2A,0.751
CREBBP,HNF1A,0.751
CREBBP,REL,0.753
CREBBP,APP,0.781
CREBBP,IKBKB,0.801
CREBBP,GATA3,0.801
CREBBP,SETD2,0.805
CREBBP,KDM6A,0.811
CREBBP,EZH2,0.818
CREBBP,EBF1,0.834
CREBBP,PPARA,0.838
CREBBP,ARID1A,0.849
CREBBP,AKT1,0.854
CREBBP,CCND3,0.861
CREBBP,KLF4,0.867
CREBBP,NCOR2,0.872
CREBBP,HDAC3,0.873
CREBBP,MAML2,0.888
CREBBP,ETS1,0.895
CREBBP,CDKN1A,0.904
CREBBP,H3C2,0.916
CREBBP,TCF3,0.917
CREBBP,H3-3A,0.921
CREBBP,FGFR1,0.923
CREBBP,STAT5B,0.934
CREBBP,HDAC2,0.934
CREBBP,STAT3,0.935
CREBBP,SRC,0.94
CREBBP,NFE2L2,0.942
CREBBP,FOS,0.943
CREBBP,SMARCA4,0.944
CREBBP,MYC,0.945
CREBBP,NCOR1,0.947
CREBBP,AR,0.96
CREBBP,HDAC1,0.96
CREBBP,LEF1,0.961
CREBBP,TCF7L2,0.966
CREBBP,BRCA1,0.968
CREBBP,RXRA,0.977
CREBBP,RUNX1,0.977
CREBBP,EPAS1,0.986
CREBBP,ESR1,0.993
CREBBP,FOXO1,0.993
CREBBP,KMT2A,0.995
CREBBP,SMAD3,0.995
CREBBP,PPARG,0.998
CREBBP,MYB,0.999
CREBBP,CTNNB1,0.999
CREBBP,HIF1A,0.999
CREBBP,TP53,0.999
CREBBP,EP300,0.999
ITGA2B,F2R,0.702
ITGA2B,SYK,0.705
ITGA2B,FCGR2A,0.706
ITGA2B,ITGB7,0.706
ITGA2B,FLNC,0.709
ITGA2B,F3,0.718
ITGA2B,KIT,0.727
ITGA2B,CD40,0.732
ITGA2B,PTPRC,0.734
ITGA2B,F2,0.736
ITGA2B,P2RY12,0.778
ITGA2B,RUNX1,0.786
ITGA2B,CD34,0.859
ITGA2B,MPL,0.88
ITGA2B,PECAM1,0.882
ITGA2B,SRC,0.959
ITGA2B,ITGB1,0.961
ITGA2B,SELP,0.965
ITGA2B,FN1,0.999
ITGA2B,ITGB3,0.999
FOXF1,CPS1,0.756
FOXF1,GATA4,0.871
GLP2R,SLC5A1,0.733
GLP2R,DPP4,0.79
GLP2R,GLP1R,0.916
ATP4A,VAMP2,0.716
ATP4A,CYP3A4,0.738
ATP4A,ACE,0.771
ATP4A,CA2,0.797
ATP4A,HRH2,0.88
ATP4A,LHPP,0.913
ATP4A,PPA2,0.926
ATP4A,ATP4B,0.999
CDKN2C,CDKN2B,0.751
CDKN2C,MEN1,0.781
CDKN2C,CDKN2A,0.815
CDKN2C,CDKN1C,0.858
CDKN2C,CDKN1A,0.902
CDKN2C,TP53,0.957
CDKN2C,CCND3,0.993
CDKN2C,CDK6,0.999
PRDX1,PARK7,0.717
PRDX1,TP53,0.723
PRDX1,MYC,0.766
PRDX1,PTEN,0.781
PRDX1,TXNRD1,0.795
PRDX1,NFE2L2,0.894
PRDX1,ABL1,0.927
MAP2K2,TYK2,0.711
MAP2K2,LMNA,0.713
MAP2K2,SRC,0.716
MAP2K2,CTNNB1,0.776
MAP2K2,SOS1,0.792
MAP2K2,PTPN11,0.843
MAP2K2,MAP3K8,0.925
MAP2K2,MAPK11,0.947
MAP2K2,NRAS,0.968
MAP2K2,HRAS,0.968
MAP2K2,MAP3K1,0.971
MAP2K2,MAP2K1,0.996
MAP2K2,RAF1,0.996
MAP2K2,BRAF,0.998
TCF3,IKZF1,0.708
TCF3,HDAC2,0.723
TCF3,DNMT1,0.724
TCF3,TET2,0.728
TCF3,IRF4,0.742
TCF3,ABL1,0.834
TCF3,PAX5,0.856
TCF3,GATA2,0.861
TCF3,GATA3,0.885
TCF3,CBFB,0.932
TCF3,EP300,0.941
TCF3,EBF1,0.948
TCF3,CTNNB1,0.958
TCF3,PBX1,0.963
TCF3,RUNX1,0.975
MAP3K8,IL6,0.764
MAP3K8,MAP2K4,0.936
MAP3K8,AKT1,0.942
MAP3K8,IKBKB,0.954
MAP3K8,MAP2K1,0.976
EP300,IL1B,0.71
EP300,MRTFA,0.71
EP300,IRF4,0.715
EP300,STAT4,0.724
EP300,MED13L,0.729
EP300,THRB,0.731
EP300,SUZ12,0.745
EP300,FBXW7,0.755
EP300,SETD2,0.761
EP300,GATA2,0.766
EP300,REST,0.766
EP300,PGR,0.776
EP300,EBF1,0.791
EP300,CBFB,0.8
EP300,EWSR1,0.802
EP300,MED12,0.805
EP300,RB1,0.808
EP300,ESR2,0.811
EP300,HNF1A,0.824
EP300,H3C2,0.827
EP300,PPARA,0.829
EP300,KMT2A,0.831
EP300,TP63,0.85
EP300,ARID1A,0.855
EP300,CDKN2A,0.859
EP300,BCL2,0.869
EP300,MITF,0.877
EP300,NCOR2,0.877
EP300,PARP1,0.881
EP300,KDM6A,0.902
EP300,REL,0.903
EP300,ATM,0.904
EP300,STAT5B,0.907
EP300,CDKN1A,0.92
EP300,NFE2L2,0.933
EP300,RXRA,0.934
EP300,HDAC2,0.944
EP300,KLF4,0.945
EP300,RUNX3,0.948
EP300,MAML2,0.95
EP300,AR,0.952
EP300,ETS1,0.954
EP300,AKT1,0.954
EP300,HDAC3,0.958
EP300,SRC,0.959
EP300,GATA3,0.959
EP300,NCOR1,0.959
EP300,APP,0.959
EP300,EZH2,0.963
EP300,FOS,0.964
EP300,SMARCA4,0.969
EP300,GATA4,0.973
EP300,TCF7L2,0.975
EP300,LEF1,0.981
EP300,FOXO1,0.984
EP300,BRCA1,0.986
EP300,BRD4,0.988
EP300,RUNX1,0.989
EP300,MEF2A,0.989
EP300,HDAC6,0.99
EP300,MYB,0.996
EP300,ESR1,0.997
EP300,PPARG,0.997
EP300,EPAS1,0.998
